epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1248,0.79572,2.00636,3.3796,1.19681,0,0.00344,1,0.44128,0.24114,0.00322,0.93548,0.39573,0.19789,1.08062,2.86385,3.22097,1.32407,0,0.00028,0.00028,0.00028
2,23.2892,0.83639,1.46974,2.62415,1.1638,0,0.55259,0.48387,0.5623,0.31119,0.55259,0.48387,0.51047,0.22156,1.16377,2.62124,3.08176,1.63611,0,0.000568516,0.000568516,0.000568516
3,27.4567,0.87611,1.24434,2.30794,1.20244,0,0.67141,0.54839,0.53236,0.23597,0.58655,0.48387,0.49521,0.19786,1.50471,3.25362,3.1673,2.15756,0,0.000845152,0.000845152,0.000845152
4,31.538,0.94264,1.26878,2.25933,1.22093,0,0.60196,0.58065,0.67925,0.38614,0.68956,0.6129,0.70794,0.30571,1.39497,3.73926,2.61175,2.3205,0,0.00110991,0.00110991,0.00110991
5,35.5118,0.85363,1.15807,1.95492,1.17267,0,0.64991,0.54839,0.60607,0.32915,0.32546,0.22581,0.18292,0.0625,1.38514,12.3232,2.65189,1.90374,0,0.00136278,0.00136278,0.00136278
6,39.4975,0.86362,1.11636,1.76925,1.13779,0,0.43227,0.70968,0.54076,0.26594,0.47896,0.67742,0.59514,0.26574,1.52924,5.73466,2.88802,2.08848,0,0.00160378,0.00160378,0.00160378
7,43.5247,0.89146,1.11032,1.68166,1.16074,0,0.65255,0.58065,0.62184,0.31315,0.59896,0.51613,0.54365,0.30004,1.53361,6.56788,3.05812,2.49775,0,0.0017624,0.0017624,0.0017624
8,47.5465,0.86346,1.07936,1.5807,1.15559,0,0.39836,0.77419,0.56832,0.32803,0.48962,0.51613,0.53313,0.29356,1.30587,5.86495,2.84721,1.82814,0,0.0017228,0.0017228,0.0017228
9,51.3989,0.81654,0.99522,1.44105,1.12905,0,0.45678,0.67742,0.49047,0.22903,0.5051,0.59282,0.56693,0.31267,1.63584,4.001,2.71082,2.31625,0,0.0016832,0.0016832,0.0016832
10,55.2922,0.80655,0.89014,1.28126,1.10638,0,0.82136,0.74194,0.84919,0.48227,0.81672,0.74194,0.80418,0.41956,1.32585,3.46677,1.63442,2.13143,0,0.0016436,0.0016436,0.0016436
11,59.1705,0.85507,0.90884,1.21422,1.11801,0,0.57338,0.6129,0.59086,0.36176,0.65804,0.67742,0.72952,0.36269,1.33126,3.2329,2.36883,1.80971,0,0.001604,0.001604,0.001604
12,62.894,0.79502,0.88305,1.11856,1.09454,0,0.50509,0.69153,0.57182,0.36063,0.55078,0.75164,0.64964,0.33912,1.28817,2.70598,2.26325,1.71731,0,0.0015644,0.0015644,0.0015644
13,67.0787,0.76512,0.83271,0.99927,1.07045,0,0.58077,0.67047,0.63196,0.38882,0.58077,0.67047,0.6431,0.34307,1.29404,2.75315,2.16266,1.71126,0,0.0015248,0.0015248,0.0015248
14,71.1147,0.72217,0.76007,0.91509,1.05383,0,0.73554,0.67742,0.76023,0.41074,0.73554,0.67742,0.76248,0.36868,1.42289,2.97979,1.75401,1.89639,0,0.0014852,0.0014852,0.0014852
15,75.1057,0.7196,0.79594,0.86892,1.03276,0,0.72758,0.86172,0.80857,0.5459,0.72758,0.86172,0.79792,0.45556,1.08473,2.15965,1.29014,1.49332,0,0.0014456,0.0014456,0.0014456
